Total Revenue,iPhone Revenue,iPhone Units,iPad Revenue,iPad Units,Wearable Home and Accessories,Apple Watch Units,Airpods Units,HomePod Units,Mac Revenue,Mac Units,Apple Services Revenue
19100000000,136800000000.0,187200000.0,23450000000.0,55800000.0,20850000000.0,26600000.0,71000000.0,9800000.0,24300000000.0,18150000.0,33350000000.0
24400000000,136800000000.0,187200000.0,23450000000.0,55800000.0,20850000000.0,26600000.0,71000000.0,9800000.0,24300000000.0,18150000.0,33350000000.0
37400000000,1800000000.0,11600000.0,23450000000.0,55800000.0,20850000000.0,26600000.0,71000000.0,9800000.0,24300000000.0,18150000.0,33350000000.0
42700000000,13000000000.0,20700000.0,23450000000.0,55800000.0,20850000000.0,26600000.0,71000000.0,9800000.0,18800000000.0,15400000.0,33350000000.0
65000000000,25100000000.0,39900000.0,23450000000.0,55800000.0,20850000000.0,26600000.0,71000000.0,9800000.0,18800000000.0,15400000.0,33350000000.0
108000000000,45900000000.0,72300000.0,19100000000.0,32300000.0,20850000000.0,26600000.0,71000000.0,9800000.0,21600000000.0,16500000.0,33350000000.0
156300000000,78600000000.0,125000000.0,30900000000.0,58100000.0,20850000000.0,26600000.0,71000000.0,9800000.0,23000000000.0,18000000.0,33350000000.0
170800000000,91200000000.0,150200000.0,31900000000.0,77000000.0,20850000000.0,26600000.0,71000000.0,9800000.0,21300000000.0,16100000.0,19150000000.0
182600000000,101900000000.0,169200000.0,30200000000.0,67900000.0,20850000000.0,26600000.0,71000000.0,9800000.0,23900000000.0,18800000.0,19150000000.0
233600000000,155000000000.0,231200000.0,23200000000.0,53800000.0,20850000000.0,26600000.0,71000000.0,9800000.0,25300000000.0,20400000.0,19600000000.0
215400000000,136800000000.0,211800000.0,20600000000.0,45500000.0,20850000000.0,26600000.0,71000000.0,9800000.0,22700000000.0,18300000.0,24100000000.0
229200000000,141200000000.0,216700000.0,19200000000.0,43700000.0,20850000000.0,26600000.0,71000000.0,9800000.0,25600000000.0,18900000.0,29800000000.0
265500000000,166200000000.0,217700000.0,18600000000.0,43500000.0,20850000000.0,26600000.0,71000000.0,9800000.0,25200000000.0,18000000.0,36900000000.0
260100000000,142300000000.0,187200000.0,21200000000.0,45200000.0,20850000000.0,26600000.0,71000000.0,9800000.0,24700000000.0,17500000.0,46100000000.0
274500000000,137700000000.0,196900000.0,23700000000.0,71100000.0,20850000000.0,26600000.0,71000000.0,9800000.0,28400000000.0,20200000.0,47550000000.0
365800000000,191900000000.0,242000000.0,31800000000.0,57800000.0,20850000000.0,26600000.0,71000000.0,9800000.0,29200000000.0,21000000.0,47550000000.0
394100000000,205400000000.0,232200000.0,29200000000.0,61800000.0,20850000000.0,26600000.0,71000000.0,9800000.0,29200000000.0,21000000.0,47550000000.0
